User_ID,Gender,Age,City,Country,Swipe_Count_Per_Day,Matches,Conversations,Meetings,Relationships,Active_Hour,Day_of_Week,Distance_Miles,Session_Time_Minutes
41,Male,32,Paris,France,26,1,0,0,0,20,Tuesday,3.7,53
42,Male,23,Tokyo,Japan,127,9,4,1,0,5,Tuesday,41.3,88
43,Male,30,Tokyo,Japan,25,2,1,0,0,7,Saturday,4.0,82
44,Male,27,Dubai,UAE,49,6,3,1,0,9,Saturday,25.1,30
45,Male,24,Houston,USA,198,25,19,10,0,0,Wednesday,6.8,13
46,Male,20,Bangalore,India,23,3,2,0,0,17,Saturday,2.2,71
47,Female,25,Melbourne,Australia,143,13,10,5,0,18,Wednesday,19.8,64
48,Male,36,Paris,France,117,9,6,2,0,20,Wednesday,6.2,40
49,Male,23,Birmingham,UK,124,12,9,5,0,14,Monday,4.3,36
50,Male,26,Berlin,Germany,114,11,7,3,0,21,Wednesday,2.7,29
51,Male,26,Lyon,France,67,4,3,1,0,23,Wednesday,43.3,42
52,Male,18,London,UK,97,4,2,0,0,15,Saturday,29.7,6
53,Male,21,London,UK,33,2,1,0,0,14,Tuesday,5.8,43
54,Male,28,Birmingham,UK,50,5,3,1,0,22,Thursday,22.0,80
55,Female,24,Munich,Germany,45,6,3,1,0,19,Friday,0.5,62
56,Male,33,Montreal,Canada,94,5,3,1,0,19,Wednesday,35.0,89
57,Female,27,Birmingham,UK,185,12,7,2,0,23,Saturday,46.9,61
58,Male,29,Lyon,France,97,11,9,4,0,18,Thursday,34.2,8
59,Male,36,Berlin,Germany,170,24,20,11,0,19,Thursday,4.7,40
60,Male,24,Berlin,Germany,131,14,9,3,0,18,Sunday,4.4,68
61,Male,35,Melbourne,Australia,29,2,1,0,0,18,Saturday,28.5,11
62,Male,23,Hyderabad,India,179,22,15,9,0,16,Thursday,29.4,8
63,Female,24,London,UK,99,10,6,2,0,7,Monday,16.2,42
64,Male,24,Mumbai,India,126,16,13,5,0,19,Sunday,7.8,58
65,Male,27,New York,USA,92,11,8,4,0,13,Friday,3.7,74
66,Male,23,Rio de Janeiro,Brazil,102,13,10,3,0,13,Monday,5.0,53
67,Male,22,Phoenix,USA,146,21,11,7,0,21,Monday,4.8,23
68,Male,19,Hamburg,Germany,59,3,2,0,0,18,Sunday,6.9,73
69,Male,23,Abu Dhabi,UAE,144,19,9,2,0,3,Saturday,9.8,86
70,Male,34,Houston,USA,133,8,4,1,0,20,Wednesday,2.8,57
71,Male,27,Chicago,USA,176,24,17,6,1,21,Saturday,2.9,6
72,Female,24,Vancouver,Canada,93,10,5,2,0,17,Saturday,8.5,30
73,Female,28,Chennai,India,166,14,8,4,0,13,Wednesday,8.7,11
74,Female,25,Dubai,UAE,147,19,15,9,0,11,Saturday,2.9,89
75,Male,28,Hamburg,Germany,185,9,6,1,0,20,Wednesday,17.1,21
76,Female,28,São Paulo,Brazil,113,11,9,5,0,13,Sunday,8.8,19
77,Male,34,Birmingham,UK,193,23,19,13,2,21,Monday,1.7,52
78,Male,30,Paris,France,87,9,7,4,0,18,Friday,32.5,83
79,Male,35,Rio de Janeiro,Brazil,199,15,9,3,0,21,Monday,8.9,22
80,Male,30,Hyderabad,India,191,27,20,10,1,22,Saturday,5.1,57
81,Female,25,Manchester,UK,133,12,6,2,0,20,Monday,2.3,20
82,Female,34,Tokyo,Japan,136,8,4,2,0,20,Tuesday,41.5,31
83,Male,27,Manchester,UK,79,6,3,1,0,11,Tuesday,8.1,19
84,Male,23,New York,USA,53,2,1,0,0,18,Tuesday,31.1,13
85,Male,28,Houston,USA,135,13,10,3,0,12,Thursday,11.3,66
86,Female,21,Toronto,Canada,195,11,8,3,0,19,Monday,6.4,79
87,Male,19,Sydney,Australia,95,9,6,2,0,11,Thursday,2.7,48
88,Female,41,Chennai,India,126,15,9,3,0,7,Monday,1.3,60
89,Male,26,Melbourne,Australia,35,3,2,0,0,21,Sunday,12.2,41
90,Male,18,Hyderabad,India,46,4,2,1,0,20,Monday,33.0,59
91,Female,36,Munich,Germany,192,21,10,6,1,19,Wednesday,22.4,48
92,Male,25,London,UK,56,5,3,1,0,19,Thursday,3.7,52
93,Male,21,Munich,Germany,41,5,2,1,0,21,Saturday,6.3,58
94,Male,37,Abu Dhabi,UAE,151,9,5,2,0,16,Monday,9.9,12
95,Male,25,Phoenix,USA,85,6,3,1,0,19,Friday,6.8,50
96,Male,30,Seoul,South Korea,30,2,1,0,0,21,Saturday,21.7,56
97,Male,22,Munich,Germany,137,18,14,4,0,21,Friday,8.8,48
98,Male,35,Abu Dhabi,UAE,63,3,2,1,0,22,Saturday,35.9,23
99,Male,29,Munich,Germany,59,7,5,1,0,17,Saturday,32.6,86
100,Female,29,Bangalore,India,180,14,9,4,0,23,Monday,1.2,64
101,Male,35,Chicago,USA,185,25,19,10,1,14,Thursday,32.9,29
102,Male,30,Montreal,Canada,148,9,4,1,0,18,Friday,11.7,61
103,Female,20,Hyderabad,India,115,16,10,6,0,20,Monday,5.8,54
104,Male,25,Dubai,UAE,188,27,19,6,0,22,Wednesday,38.0,55
105,Male,26,Melbourne,Australia,116,13,7,2,0,8,Monday,27.0,51
106,Male,24,Delhi,India,66,9,5,3,0,2,Monday,8.0,69
107,Female,32,Los Angeles,USA,189,15,11,3,0,19,Saturday,4.4,35
108,Female,18,Munich,Germany,92,11,8,3,0,7,Sunday,6.9,78
109,Female,23,Chennai,India,148,15,12,7,1,20,Monday,45.0,75
110,Female,27,Lyon,France,152,20,11,6,0,2,Sunday,9.5,33
111,Female,35,Toronto,Canada,33,2,1,0,0,20,Monday,36.0,23
112,Male,19,Delhi,India,140,16,8,4,0,18,Monday,8.4,75
113,Female,22,Abu Dhabi,UAE,93,6,3,1,0,14,Monday,30.0,73
114,Male,23,Sydney,Australia,167,12,6,2,0,21,Tuesday,13.5,51
115,Male,21,Sydney,Australia,161,8,6,1,0,18,Wednesday,23.9,89
116,Male,26,Abu Dhabi,UAE,168,20,12,3,0,11,Sunday,28.6,66
117,Male,27,Abu Dhabi,UAE,137,7,3,1,0,20,Friday,8.2,65
118,Male,25,Abu Dhabi,UAE,185,12,7,4,0,18,Sunday,9.0,61
119,Female,18,Montreal,Canada,197,19,15,7,1,21,Thursday,42.9,74
120,Male,35,Houston,USA,40,3,1,0,0,21,Wednesday,7.4,50
121,Male,20,Singapore,Singapore,34,1,0,0,0,21,Tuesday,37.2,61
122,Male,29,Chicago,USA,80,10,6,2,0,17,Wednesday,7.7,78
123,Male,24,Mumbai,India,83,12,6,2,0,1,Wednesday,38.2,32
124,Female,30,Delhi,India,197,27,18,6,1,17,Monday,48.7,45
125,Male,25,Delhi,India,96,12,8,5,0,23,Tuesday,2.4,22
126,Male,20,Montreal,Canada,26,2,1,0,0,18,Monday,10.0,66
127,Male,28,Chicago,USA,52,7,5,2,0,19,Sunday,27.4,12
128,Female,18,Sydney,Australia,59,4,2,1,0,8,Wednesday,20.1,86
129,Female,25,Munich,Germany,156,9,6,3,0,20,Sunday,11.7,8
130,Male,33,Hamburg,Germany,167,12,6,3,0,20,Saturday,29.4,56
131,Male,28,Vancouver,Canada,126,12,6,3,0,23,Sunday,4.3,52
132,Male,27,Houston,USA,101,7,3,1,0,21,Sunday,20.0,25
133,Female,34,Manchester,UK,60,5,3,1,0,21,Friday,2.8,79
134,Male,23,Los Angeles,USA,92,9,7,3,0,14,Thursday,3.0,51
135,Female,23,Berlin,Germany,163,11,7,2,0,22,Sunday,37.2,20
136,Male,30,Houston,USA,120,10,8,4,0,21,Friday,0.9,47
137,Female,24,São Paulo,Brazil,151,9,7,2,0,16,Friday,8.4,73
138,Male,26,Berlin,Germany,96,9,4,1,0,20,Sunday,44.9,85
139,Male,18,Singapore,Singapore,168,18,13,6,0,17,Tuesday,19.8,78
140,Female,29,Houston,USA,68,3,1,0,0,21,Sunday,39.1,22
141,Male,18,Montreal,Canada,154,13,10,4,0,16,Friday,9.6,40
142,Male,20,Birmingham,UK,96,12,8,4,0,16,Wednesday,6.9,53
143,Female,23,Abu Dhabi,UAE,57,4,2,1,0,20,Saturday,2.4,73
144,Male,29,Melbourne,Australia,198,15,8,4,0,19,Saturday,1.5,47
145,Male,33,New York,USA,160,23,12,6,1,15,Sunday,22.9,87
146,Male,32,Abu Dhabi,UAE,42,4,2,1,0,19,Thursday,17.1,9
147,Female,22,Rio de Janeiro,Brazil,94,12,6,3,0,4,Thursday,31.8,68
148,Female,30,Phoenix,USA,149,14,7,2,0,16,Saturday,7.5,42
149,Male,27,Seoul,South Korea,183,25,19,9,0,21,Tuesday,9.4,5
150,Male,23,Birmingham,UK,134,16,13,5,0,20,Saturday,6.8,64
151,Male,22,São Paulo,Brazil,200,25,18,9,1,19,Tuesday,29.2,63
152,Male,30,Munich,Germany,115,10,6,2,0,21,Sunday,7.7,15
153,Male,22,Rio de Janeiro,Brazil,164,10,7,4,0,15,Wednesday,27.7,31
154,Male,26,Montreal,Canada,43,6,3,0,0,18,Friday,8.2,7
155,Male,30,Berlin,Germany,38,2,1,0,0,1,Thursday,4.4,22
156,Female,19,Dubai,UAE,185,27,17,11,1,6,Thursday,9.7,74
157,Male,28,Melbourne,Australia,120,12,9,3,0,20,Thursday,31.8,73
158,Male,25,Birmingham,UK,83,7,3,1,0,21,Sunday,34.6,7
159,Male,33,Vancouver,Canada,173,20,16,6,0,19,Sunday,12.4,69
160,Female,29,Birmingham,UK,167,13,9,5,0,19,Saturday,4.4,40
161,Male,36,Rio de Janeiro,Brazil,64,7,4,1,0,6,Sunday,7.1,57
162,Male,23,Chennai,India,67,8,5,3,0,22,Monday,9.7,76
163,Male,24,Bangalore,India,185,10,6,2,0,10,Wednesday,6.2,10
164,Female,29,Manchester,UK,170,20,13,6,1,18,Tuesday,48.5,20
165,Male,27,Lyon,France,174,20,12,4,0,21,Friday,22.4,51
166,Male,18,Montreal,Canada,139,8,6,2,0,5,Wednesday,5.8,33
167,Male,33,Berlin,Germany,168,20,12,4,0,15,Thursday,9.5,48
168,Male,27,Tokyo,Japan,145,21,15,7,0,21,Tuesday,29.6,74
169,Female,32,Tokyo,Japan,39,5,3,1,0,11,Monday,10.5,69
170,Male,25,Los Angeles,USA,178,20,16,10,1,21,Monday,7.4,73
171,Female,36,Paris,France,130,16,13,4,0,19,Friday,8.2,39
172,Female,27,Chicago,USA,115,16,10,3,0,18,Saturday,36.0,9
173,Male,22,Los Angeles,USA,183,9,5,2,0,23,Sunday,45.8,10
174,Male,31,São Paulo,Brazil,197,27,17,5,0,8,Friday,17.3,45
175,Male,27,Tokyo,Japan,121,17,10,5,0,12,Thursday,15.7,15
176,Male,29,Hyderabad,India,33,1,0,0,0,17,Sunday,6.5,62
177,Male,19,Toronto,Canada,67,7,5,1,0,23,Monday,2.0,86
178,Male,36,Chennai,India,101,8,4,2,0,21,Tuesday,4.6,76
179,Male,26,Hyderabad,India,161,9,6,2,0,21,Sunday,9.1,36
180,Male,27,London,UK,195,17,9,3,0,21,Wednesday,5.1,14
181,Male,34,Montreal,Canada,172,19,12,4,0,21,Sunday,27.7,60
182,Female,24,Seoul,South Korea,186,27,14,5,0,20,Tuesday,48.8,42
183,Male,18,Singapore,Singapore,82,6,3,1,0,3,Friday,17.3,75
184,Male,18,Dubai,UAE,138,19,10,6,1,21,Saturday,6.5,35
185,Male,29,Chennai,India,38,3,2,1,0,6,Friday,9.7,73
186,Male,31,Rio de Janeiro,Brazil,41,2,1,0,0,17,Sunday,8.1,18
187,Male,26,Sydney,Australia,162,17,11,5,0,23,Saturday,3.8,8
188,Male,32,Delhi,India,126,17,9,5,0,20,Thursday,30.9,49
189,Male,19,Bangalore,India,37,2,1,0,0,15,Saturday,2.2,25
190,Male,29,Toronto,Canada,138,10,6,2,0,18,Saturday,18.0,80
191,Male,30,Mumbai,India,200,26,13,4,0,20,Tuesday,3.0,67
192,Male,27,Hamburg,Germany,100,10,7,3,0,11,Sunday,42.0,83
193,Male,24,Birmingham,UK,98,6,3,1,0,17,Thursday,6.5,87
194,Female,23,London,UK,162,10,6,2,0,16,Monday,2.4,54
195,Female,21,Paris,France,145,13,10,4,0,19,Wednesday,2.6,41
196,Male,26,Vancouver,Canada,164,20,15,7,0,20,Friday,11.8,61
197,Male,29,Tokyo,Japan,187,23,13,9,1,18,Thursday,14.8,35
198,Male,26,Dubai,UAE,170,20,16,8,0,15,Sunday,1.1,49
199,Male,24,Lyon,France,94,7,4,2,0,21,Tuesday,41.4,12
200,Female,25,Seoul,South Korea,187,11,8,3,0,13,Thursday,6.5,85
201,Male,20,São Paulo,Brazil,43,3,2,1,0,17,Wednesday,8.8,16
202,Male,29,Vancouver,Canada,182,21,13,4,0,21,Sunday,3.1,41
203,Male,21,Montreal,Canada,107,14,10,3,0,10,Monday,16.4,63
204,Male,23,Toronto,Canada,71,10,8,5,0,12,Monday,20.1,52
205,Male,26,Hamburg,Germany,98,12,9,4,0,19,Thursday,6.1,71
206,Male,25,New York,USA,22,2,1,0,0,18,Tuesday,7.4,18
207,Male,24,Chennai,India,54,6,4,1,0,15,Thursday,2.5,24
208,Female,30,Munich,Germany,195,18,10,6,0,21,Wednesday,22.6,22
209,Male,24,Munich,Germany,173,21,12,8,0,12,Tuesday,5.3,55
210,Male,24,Los Angeles,USA,81,8,4,1,0,14,Wednesday,15.4,77
211,Male,24,Montreal,Canada,38,1,0,0,0,21,Friday,7.3,58
212,Male,26,Chennai,India,41,4,2,0,0,19,Sunday,3.6,80
213,Male,30,Chicago,USA,99,11,8,5,0,21,Monday,6.3,44
214,Male,20,Paris,France,64,3,2,1,0,8,Friday,38.9,26
215,Male,26,Dubai,UAE,50,6,3,1,0,18,Thursday,3.9,68
216,Female,18,London,UK,114,7,5,3,0,18,Monday,10.6,10
217,Male,24,Rio de Janeiro,Brazil,29,3,2,1,0,21,Saturday,8.3,78
218,Male,28,Sydney,Australia,192,26,14,8,1,1,Thursday,41.0,44
219,Male,26,Manchester,UK,94,9,5,2,0,17,Sunday,39.3,74
220,Female,26,Birmingham,UK,58,2,1,0,0,10,Wednesday,6.7,44
221,Male,23,Montreal,Canada,35,5,2,0,0,21,Saturday,28.4,15
222,Male,26,Sydney,Australia,54,6,3,1,0,21,Tuesday,8.6,55
223,Male,26,Mumbai,India,79,4,2,1,0,19,Thursday,4.4,73
224,Male,22,Abu Dhabi,UAE,73,6,3,1,0,12,Sunday,34.2,32
225,Female,25,Birmingham,UK,111,9,4,1,0,21,Sunday,7.6,36
226,Male,28,Houston,USA,55,3,1,0,0,21,Wednesday,47.5,15
227,Male,26,New York,USA,36,2,1,0,0,12,Monday,4.9,26
228,Female,36,Toronto,Canada,121,12,7,3,0,4,Wednesday,1.9,83
229,Male,27,Toronto,Canada,160,15,7,3,0,15,Saturday,31.8,7
230,Female,31,Singapore,Singapore,111,10,7,3,0,20,Tuesday,6.2,8
231,Female,27,Montreal,Canada,155,13,9,3,0,19,Wednesday,8.0,12
232,Female,25,Birmingham,UK,167,22,17,7,1,11,Tuesday,8.2,50
233,Female,34,Berlin,Germany,164,10,8,5,0,8,Wednesday,0.9,12
234,Male,28,Birmingham,UK,25,2,1,0,0,19,Sunday,23.0,7
235,Male,26,Houston,USA,154,20,16,7,1,18,Wednesday,1.8,25
236,Male,24,Toronto,Canada,183,26,18,6,1,23,Sunday,6.8,27
237,Male,26,London,UK,20,2,1,0,0,0,Tuesday,46.8,83
238,Male,22,Berlin,Germany,46,6,3,1,0,2,Saturday,13.6,90
239,Male,31,Mumbai,India,73,5,2,0,0,21,Thursday,48.8,57
240,Male,23,Chennai,India,109,11,5,2,0,23,Tuesday,1.2,9
241,Male,21,Chicago,USA,107,7,4,2,0,10,Wednesday,6.3,66
242,Male,38,Toronto,Canada,187,12,9,3,0,19,Thursday,38.9,74
243,Male,26,Los Angeles,USA,120,12,9,3,0,20,Sunday,34.0,30
244,Male,30,Manchester,UK,63,7,5,2,0,22,Thursday,20.7,87
245,Male,31,Hyderabad,India,67,6,3,1,0,18,Tuesday,36.7,15
246,Male,36,Singapore,Singapore,158,14,10,3,0,21,Friday,47.5,78
247,Female,24,São Paulo,Brazil,28,2,1,0,0,14,Sunday,9.5,26
248,Female,27,Singapore,Singapore,69,4,2,1,0,2,Sunday,3.5,13
249,Male,21,Seoul,South Korea,90,9,7,2,0,17,Monday,1.9,80
250,Male,24,Houston,USA,47,4,2,0,0,21,Wednesday,5.1,82
251,Male,29,Munich,Germany,175,20,12,5,0,21,Saturday,3.1,52
252,Male,31,Tokyo,Japan,97,7,5,3,0,3,Tuesday,7.6,46
253,Male,20,Manchester,UK,133,9,7,4,0,10,Friday,12.7,69
254,Male,30,Abu Dhabi,UAE,154,21,10,3,0,11,Monday,9.2,30
255,Male,29,Hamburg,Germany,51,6,3,1,0,7,Friday,3.8,38
256,Male,21,Lyon,France,43,3,1,0,0,3,Saturday,2.5,88
257,Male,35,Abu Dhabi,UAE,194,9,7,3,0,20,Friday,22.3,87
258,Male,28,São Paulo,Brazil,116,15,9,3,0,17,Friday,5.4,89
259,Female,30,Munich,Germany,175,13,9,4,0,20,Sunday,6.7,88
260,Male,21,Phoenix,USA,152,19,15,9,1,16,Saturday,0.7,68
261,Female,26,Chennai,India,29,3,2,1,0,23,Friday,29.1,90
262,Male,32,Delhi,India,63,8,6,2,0,20,Saturday,40.5,28
263,Female,32,Birmingham,UK,110,7,5,2,0,20,Thursday,28.9,86
264,Male,22,Munich,Germany,38,3,1,0,0,17,Monday,16.1,30
265,Male,37,Vancouver,Canada,56,4,3,1,0,15,Wednesday,10.3,40
266,Male,26,Abu Dhabi,UAE,63,6,3,1,0,21,Saturday,4.6,66
267,Male,30,Hyderabad,India,23,3,2,1,0,19,Tuesday,23.8,21
268,Male,27,Sydney,Australia,170,13,6,1,0,16,Thursday,49.8,48
269,Female,18,London,UK,123,6,3,2,0,19,Monday,6.7,9
270,Male,27,Hamburg,Germany,85,10,7,3,0,18,Monday,26.7,53
271,Male,26,Manchester,UK,197,23,11,5,0,15,Thursday,14.3,84
272,Male,34,Houston,USA,47,4,2,1,0,5,Saturday,2.0,75
273,Male,30,Bangalore,India,80,4,2,1,0,21,Monday,13.1,17
274,Female,38,Hamburg,Germany,79,7,5,2,0,10,Sunday,8.1,45
275,Male,34,São Paulo,Brazil,31,1,0,0,0,12,Saturday,8.2,28
276,Male,33,Chennai,India,136,10,6,3,0,15,Monday,7.4,25
277,Male,31,Berlin,Germany,193,18,12,7,0,11,Thursday,14.6,57
278,Male,23,Chicago,USA,86,9,4,2,0,23,Friday,9.6,48
279,Male,24,Toronto,Canada,189,23,15,8,1,18,Monday,16.4,65
280,Female,20,Seoul,South Korea,62,3,2,0,0,19,Friday,26.2,35
281,Male,20,Chicago,USA,147,13,7,3,0,21,Monday,0.5,16
282,Female,29,Munich,Germany,183,14,9,3,0,5,Sunday,2.6,63
283,Male,27,Lyon,France,188,16,10,3,0,20,Sunday,42.0,75
284,Male,20,Lyon,France,47,2,1,0,0,21,Wednesday,17.6,55
285,Male,28,Bangalore,India,47,5,2,1,0,21,Thursday,48.3,22
286,Female,24,New York,USA,155,19,13,6,0,2,Saturday,7.4,21
287,Male,23,Bangalore,India,149,20,12,6,0,21,Wednesday,28.2,22
288,Male,21,Munich,Germany,199,27,18,11,1,19,Tuesday,7.3,49
289,Female,32,London,UK,148,15,10,5,0,17,Saturday,43.7,41
290,Female,32,Toronto,Canada,23,2,1,0,0,19,Wednesday,15.9,12
291,Male,24,Los Angeles,USA,111,14,7,4,0,13,Tuesday,8.1,41
292,Male,35,Los Angeles,USA,117,10,8,5,0,14,Saturday,6.4,61
293,Female,33,Hamburg,Germany,114,14,9,4,0,4,Thursday,7.0,28
294,Female,22,Dubai,UAE,151,9,4,1,0,20,Monday,7.2,24
295,Male,33,Abu Dhabi,UAE,180,20,14,6,0,20,Friday,2.2,13
296,Female,24,London,UK,126,13,8,3,0,22,Wednesday,9.5,84
297,Male,36,Hamburg,Germany,22,1,0,0,0,3,Monday,22.9,19
298,Male,26,Melbourne,Australia,92,4,2,1,0,17,Monday,6.7,46
299,Male,29,Abu Dhabi,UAE,157,16,11,4,0,21,Sunday,5.6,60
300,Male,26,Chicago,USA,195,12,7,3,0,20,Friday,8.3,38
301,Male,22,Bangalore,India,24,2,1,0,0,18,Saturday,24.4,69
302,Male,28,Singapore,Singapore,195,15,7,4,0,18,Thursday,2.6,55
303,Female,29,Hamburg,Germany,56,4,3,2,0,14,Friday,15.7,10
304,Male,23,Munich,Germany,120,12,9,3,0,5,Tuesday,6.6,70
305,Male,29,Mumbai,India,69,4,2,1,0,23,Thursday,13.0,90
306,Male,33,Houston,USA,70,8,5,2,0,21,Wednesday,46.0,45
307,Male,23,Lyon,France,169,11,7,4,0,20,Tuesday,38.5,87
308,Male,33,Tokyo,Japan,112,7,5,3,0,20,Thursday,2.2,82
309,Male,25,São Paulo,Brazil,157,10,7,3,0,10,Sunday,4.3,80
310,Male,36,Los Angeles,USA,161,12,9,4,0,21,Tuesday,33.6,42
311,Male,24,Hyderabad,India,148,7,4,2,0,23,Tuesday,2.2,77
312,Male,26,Phoenix,USA,143,20,10,6,0,19,Monday,30.8,51
313,Male,35,Los Angeles,USA,186,15,11,5,0,12,Friday,2.2,88
314,Male,21,Berlin,Germany,187,26,13,5,0,21,Wednesday,23.9,66
315,Female,37,Vancouver,Canada,62,4,2,0,0,18,Saturday,8.2,19
316,Male,27,Montreal,Canada,142,10,5,3,0,19,Tuesday,11.7,78
317,Male,32,Sydney,Australia,123,13,9,2,0,22,Monday,6.3,65
318,Female,36,London,UK,76,10,7,4,0,20,Tuesday,23.8,63
319,Male,31,Phoenix,USA,47,2,1,0,0,10,Tuesday,6.3,9
320,Female,29,Melbourne,Australia,148,18,9,5,0,14,Sunday,27.3,58
321,Male,32,Birmingham,UK,143,18,11,5,0,23,Friday,1.8,66
322,Female,28,Rio de Janeiro,Brazil,41,3,2,0,0,21,Friday,5.4,53
323,Male,25,Hyderabad,India,47,3,2,0,0,20,Friday,7.0,31
324,Male,22,Singapore,Singapore,162,15,9,4,0,20,Sunday,39.5,89
325,Male,28,London,UK,45,3,1,0,0,23,Monday,9.7,5
326,Female,35,Tokyo,Japan,57,5,3,1,0,18,Saturday,9.9,83
327,Male,24,Los Angeles,USA,64,7,4,1,0,12,Tuesday,6.2,71
328,Male,39,Munich,Germany,63,7,4,2,0,20,Sunday,6.9,56
329,Male,18,Chicago,USA,43,4,3,1,0,20,Tuesday,17.9,56
330,Male,26,Mumbai,India,64,5,2,0,0,8,Wednesday,42.5,78
331,Male,22,Montreal,Canada,82,10,8,3,0,14,Thursday,1.1,86
332,Female,28,Birmingham,UK,193,23,17,7,0,16,Tuesday,4.3,48
333,Male,32,Hyderabad,India,75,10,5,3,0,7,Saturday,7.5,38
334,Male,24,Manchester,UK,83,11,6,3,0,21,Friday,8.6,10
335,Female,23,São Paulo,Brazil,167,22,14,9,1,19,Sunday,1.0,59
336,Male,30,Melbourne,Australia,28,2,1,0,0,8,Thursday,0.6,31
337,Male,30,Seoul,South Korea,86,5,2,0,0,19,Thursday,4.5,52
338,Male,29,Chennai,India,91,8,5,3,0,12,Sunday,4.6,53
339,Male,29,Montreal,Canada,22,1,0,0,0,16,Sunday,2.9,77
340,Male,19,Houston,USA,196,13,7,2,0,20,Wednesday,5.8,37
341,Male,23,Paris,France,175,12,8,4,0,22,Wednesday,29.6,62
342,Female,29,Chennai,India,177,13,9,3,0,12,Thursday,32.9,14
343,Male,24,Hamburg,Germany,94,11,7,3,0,22,Saturday,9.7,57
344,Male,30,Seoul,South Korea,25,1,0,0,0,21,Tuesday,1.4,65
345,Male,31,Abu Dhabi,UAE,41,2,1,0,0,19,Tuesday,27.8,21
346,Male,27,Tokyo,Japan,63,3,2,1,0,16,Friday,9.7,74
347,Male,21,Hamburg,Germany,164,15,10,5,0,15,Sunday,3.4,57
348,Male,22,Delhi,India,22,1,0,0,0,14,Saturday,47.9,66
349,Male,27,Munich,Germany,79,10,6,2,0,19,Tuesday,35.9,53
350,Male,18,Chicago,USA,128,14,9,5,0,22,Wednesday,31.3,39
351,Male,28,Delhi,India,48,5,3,1,0,18,Tuesday,5.6,28
352,Female,24,Delhi,India,88,5,3,0,0,19,Wednesday,8.0,68
353,Female,18,Bangalore,India,40,5,4,1,0,21,Tuesday,8.5,53
354,Female,29,Houston,USA,83,7,5,1,0,18,Friday,18.4,54
355,Male,25,Hamburg,Germany,30,3,2,0,0,20,Monday,18.8,19
